store,address,phone,address2
여의도교보증권카페점,서울시 영등포구 의사당대로 97 교보증권빌딩 2층  ,02-785-8845,서울특별시 영등포구 의사당대로 97 교보증권빌딩 2층
상봉엔터식스점,서울시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층  ,02-437-8891,서울특별시 중랑구 망우로 353 프레미어스엠코 엔터식스 B동 2층
여의도렉싱턴호텔옆점,서울시 영등포구 국회대로74길19 동우국제빌딩1층  ,02-782-3358,서울특별시 영등포구 국회대로74길19 동우국제빌딩1층
목동트라팰리스점,서울시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층  ,02-2643-7725,서울특별시 양천구 오목로 299 트라팰리스 이스턴에비뉴 1층
압구정현대아파트점,서울시 강남구 압구정로29길65 지하1층  ,02-518-3350,서울특별시 강남구 압구정로29길65 지하1층
역삼역4번출구점,서울시 강남구 테헤란로143 고운빌딩1층  ,02-508-1137,서울특별시 강남구 테헤란로143 고운빌딩1층
시청역7번출구점,서울시 중구 세종대로84 2층  ,02-754-8852,서울특별시 중구 세종대로84 2층
부평문화의거리점,"인천광역시 부평구 시장로29 1,2층  ",032-507-9901,"인천광역시 부평구 시장로29 1,2층"
강남대로센터점,서울시 강남구 강남대로442 흥국화재빌딩 2층   ,02-565-3345,서울특별시 강남구 강남대로442 흥국화재빌딩 2층
구로G-ValleyMall,서울시 구로구 디지털로300 지밸리비즈플라자 2층  ,02-6344-3966,서울특별시 구로구 디지털로300 지밸리비즈플라자 2층
내방역7번출구유중아트점,서울시 서초구 방배로178 유중아트센터1층  ,02-592-8861,서울특별시 서초구 방배로178 유중아트센터1층
오리역애플플라자점,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층  ,031-715-5638,경기도 성남시 분당구 탄천상로151번길20 월드쇼핑 B동 1층
도심공항점,서울시 강남구 테헤란로87길22 도심공항터미널 지하1층  ,02-551-6456 ,서울특별시 강남구 테헤란로87길22 도심공항터미널 지하1층
타임스퀘어점,서울시 영등포구 영중로15 타임스퀘어 1층  ,02-2635-8830,서울특별시 영등포구 영중로15 타임스퀘어 1층
차병원사거리점,서울시 강남구 봉은사로207 KJ타워1층  ,02-542-8813,서울특별시 강남구 봉은사로207 KJ타워1층
엔터식스한양대점,서울시 성동구 왕십리로241 서울숲더샵 판매시설201동 지하2층  ,02-6454-6216,서울특별시 성동구 왕십리로241 서울숲더샵 판매시설201동 지하2층
CBTL(커피빈)파르나스몰점,서울시 강남구 테헤란로521 파르나스몰 지하1층  ,02-538-2008 ,서울특별시 강남구 테헤란로521 파르나스몰 지하1층
광화문역1번출구점,서울시 종로구 새문안로5가길 7 1층 일부  ,02-723-3360,서울특별시 종로구 새문안로5가길 7 1층 일부
현대프리미엄아울렛김포점,경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호  ,031-8048-2618,경기도 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호
여의도신영증권별관점,서울시 영등포구 국제금융로8길6 신영증권별관빌딩2층  ,02-782-1125,서울특별시 영등포구 국제금융로8길6 신영증권별관빌딩2층
이태원제일기획옆점,서울시 용산구 이태원로220(한남동) 1층  ,02-792-3560,서울특별시 용산구 이태원로220(한남동) 1층
강남역GT타워옆점,서울시 서초구 서초대로73길12 세계빌딩1층   ,02-592-0053,서울특별시 서초구 서초대로73길12 세계빌딩1층
광교아브뉴프랑점,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호   ",031-216-9308,"경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호"
광장동대한제지점,서울시 광진구 아차산로563(광장동) 대한제지빌딩 로비층  ,02-458-8166,서울특별시 광진구 아차산로563(광장동) 대한제지빌딩 로비층
신천역점,서울시 송파구 올림픽로100 효창타워1층  ,02-417-8851,서울특별시 송파구 올림픽로100 효창타워1층
포항영일대점,경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호  ,054-241-3372,경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호
낙성대역점,"서울시 관악구 남부순환로1909 1,2층  ",02-875-3364,"서울특별시 관악구 남부순환로1909 1,2층"
진주LH본사점,경상남도 진주시 충의로 19 LH진주사옥 홍보관1층  ,055-763-3520,경상남도 진주시 충의로 19 LH진주사옥 홍보관1층
인천공항탑승동130gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57  ,032-743-7213 ,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-57
인천공항탑승동105gate앞점,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68  ,032-743-7223,인천광역시 중구 공항로272 인천국제공항탑승동3층 FB-C5-68
용산아이파크몰점,서울시 용산구 한강대로23길55 현대아이파크몰용산 서관6층  ,02-2012-0631,서울특별시 용산구 한강대로23길55 현대아이파크몰용산 서관6층
경주미탐시티점,경상북도 경주시 엑스포로80(천군동)1층  ,054-777-5982,경상북도 경주시 엑스포로80(천군동)1층
석촌호수점,서울시 송파구 석촌호수로 222 제이타워 1층  ,02-415-1235,서울특별시 송파구 석촌호수로 222 제이타워 1층
오목교역사거리점,"서울시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층  ",02-2653-8577 ,"서울특별시 양천구 오목로 350 목동썬텍씨티빌딩 1층,2층"
을지로입구역점,"서울시 중구 남대문로10길 6 1,2층   ",02-752-3348,"서울특별시 중구 남대문로10길 6 1,2층"
명동M플라자점,서울시 중구 명동8길 27(명동2가)  ,02-752-0888,서울특별시 중구 명동8길 27(명동2가)
송도홈플러스점,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층  ,032-822-5905,인천광역시 연수구 송도국제대로 165(송도동) 홈플러스송도점1층
올림픽공원북2문앞점,서울시 강동구 강동대로193 1층  ,02-471-2372,서울특별시 강동구 강동대로193 1층
고대참살이길점,"서울시 성북구 인촌로24길 25 (안암동5가) 2층,3층  ",02-923-7735,"서울특별시 성북구 인촌로24길 25 (안암동5가) 2층,3층"
예술의전당앞점,"서울특별시 서초구 반포대로4(서초동) 2층, 3층  ",02-583-8856,"서울특별시 서초구 반포대로4(서초동) 2층, 3층"
삼성역글라스타워뒷점,서울시 강남구 영동대로85길 9 (대치동) 서전빌딩1층  ,02-552-3363,서울특별시 강남구 영동대로85길 9 (대치동) 서전빌딩1층
범계역로데오점,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층  ,031-476-9082,경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층
포스코옆삼성로86길점,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층  ,02-569-7501,서울특별시 강남구 삼성로86길 11 거봉빌딩 1층
상암한국지역정보개발원점,서울시 마포구 성암로301 KLID한국지역정보개발원 1층  ,02-376-9162,서울특별시 마포구 성암로301 KLID한국지역정보개발원 1층
판교알파돔시티점,경기도 성남시 분당구 판교역로145(백현동) 판교알파돔 C2-3블럭 1층  ,031-8017-8556,경기도 성남시 분당구 판교역로145(백현동) 판교알파돔 C2-3블럭 1층
대치동나무병원점,서울특별시 강남구 영동대로 225 나무병원1층 (대치동994-5)  ,02-562-9605,서울특별시 강남구 영동대로 225 나무병원1층 (대치동994-5)
분당정자점,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층  ,031-786-1906,경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층
신논현역점,서울특별시 강남구 봉은사로108 글라스톤빌딩1층  ,02-569-9061,서울특별시 강남구 봉은사로108 글라스톤빌딩1층
강서그랜드아이파크점,서울시 강서구 화곡6동 1095번지 1층  ,02-2699-7462,서울특별시 강서구 화곡6동 1095번지 1층
상암DDMC점,서울시 마포구 상암동 1610번지 DDMC 지하 1층  ,02-375-0994,서울특별시 마포구 상암동 1610번지 DDMC 지하 1층
연대동문회관점,"서울시 서대문구 대신동 50-5 1층,2층(B동)  ",02-362-8301,"서울특별시 서대문구 대신동 50-5 1층,2층(B동)"
평촌점,"경기도 안양시 동안구 시민대로327번길 6, W 에이스타워 1층  ",031-426-9065,"경기도 안양시 동안구 시민대로327번길 6, W 에이스타워 1층"
마두역점,경기도 고양시 일산동구 중앙로 1193 마두법조빌딩 1층  ,031-932-7018,경기도 고양시 일산동구 중앙로 1193 마두법조빌딩 1층
수원역점,"경기도 수원시 팔달구 매산로 11,  2층  ",031-248-9593,"경기도 수원시 팔달구 매산로 11, 2층"
부천역점,경기도 부천시 부천로4 2층  ,032-668-7890,경기도 부천시 부천로4 2층
장안점,"서울시 동대문구 장안동 372-1, 1층 일부 및 2층 전체  ",02-2249-9826,"서울특별시 동대문구 장안동 372-1, 1층 일부 및 2층 전체"
서초역1번출구점,서울시 서초구 서초대로 250 스타갤러리 브릿지 1층 101호  ,02-598-7741,서울특별시 서초구 서초대로 250 스타갤러리 브릿지 1층 101호
수원망포역점,경기도 수원시 영통구 영통로 214번길 8 1층  ,031-273-8751,경기도 수원시 영통구 영통로 214번길 8 1층
대치사거리점,서울시 강남구 삼성로 352 창진빌딩 1층 및 2층  ,02-569-9751,서울특별시 강남구 삼성로 352 창진빌딩 1층 및 2층
매헌역점,서울시 서초구 동산로 1  1층  ,02-2058-0921,서울특별시 서초구 동산로 1 1층
문래동점,서울시 영등포구 문래동6가 5번지 1층  ,02-2069-3157,서울특별시 영등포구 문래동6가 5번지 1층
해운대점,부산시 해운대구 해운대 해변로277 다옴빌딩1층  ,051-746-8214,부산광역시 해운대구 해운대 해변로277 다옴빌딩1층
역삼동태광타워점,서울시 강남구 역삼동 718-20  태광타워 1층  ,02-569-9867,서울특별시 강남구 역삼동 718-20 태광타워 1층
수지동천점,경기 용인시 수지구 손곡로 95 송란빌딩 1층  ,031-896-9044,경기도 용인시 수지구 손곡로 95 송란빌딩 1층
파주운정홈플러스점,경기도 파주시 청암로 17번길 17 1층  ,031-949-1408,경기도 파주시 청암로 17번길 17 1층
잠원논현역점,서울시 서초구 신반포로47길 5 건물전체 1~3층  ,02-541-7404,서울특별시 서초구 신반포로47길 5 건물전체 1~3층
천호역점,서울시 강동구 올림픽로 659 쌍용플래티넘리버 1층  ,02-488-5912,서울특별시 강동구 올림픽로 659 쌍용플래티넘리버 1층
강남대점,경기도 용인시 기흥구 강남로 3 강남앤플러스 1층  ,031-693-6312,경기도 용인시 기흥구 강남로 3 강남앤플러스 1층
홍대역8번출구점,서울시 마포구 양화로18안길 7 2층  ,02-338-9463,서울특별시 마포구 양화로18안길 7 2층
산본역점,경기도 군포시 광정로58 1층 104호 및 2층  ,031-399-8812,경기도 군포시 광정로58 1층 104호 및 2층
부천상동점,경기도 부천시 길주로 111 센타플라자 1층  ,032-329-9471,경기도 부천시 길주로 111 센타플라자 1층
안양1번가점,경기도 안양시 만안구 안양로304번길 12 세진빌딩 2층  ,031-468-9096,경기도 안양시 만안구 안양로304번길 12 세진빌딩 2층
원주AK플라자점,강원도 원주시 봉화로1 AK플라자원주점 1층  ,033-748-0631,강원도 원주시 봉화로1 AK플라자원주점 1층
송파파크하비오B1점,"서울특별시 송파구 송파대로 111, 송파 파크하비오 하비오길 극장로 203동 지하1층  ",02-449-6797,"서울특별시 송파구 송파대로 111, 송파 파크하비오 하비오길 극장로 203동 지하1층"
화정중앙공원점,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호  ,031-979-9402,경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호
강남역12번출구점,서울특별시 강남구 테헤란로 111 2층  ,02-569-5838,서울특별시 강남구 테헤란로 111 2층
서초부띠크모나코점,서울특별시 서초구 서초대로 397 부띠크모나코 1층  ,02-537-4662,서울특별시 서초구 서초대로 397 부띠크모나코 1층
송파파크하비오점,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113  ,02-449-6881,서울특별시 송파구 송파대로 111 송파파크하비오 205동 1층 110-113
문정역엠스테이트점,서울 송파구 문정동 643-1번지 엠스테이트 B동 지하1층  ,02-6177-9080,서울특별시 송파구 문정동 643-1번지 엠스테이트 B동 지하1층
상봉역점,서울특별시 중랑구 망우로 291 1층  ,02-493-8902,서울특별시 중랑구 망우로 291 1층
강동경희대병원앞점,서울특별시 강동구 동남로 885 양지빌딩 1층  ,02-481-9938,서울특별시 강동구 동남로 885 양지빌딩 1층
노원역점,"서울시 노원구 노해로 490, 길빌딩 2층  ",02-952-9577,"서울특별시 노원구 노해로 490, 길빌딩 2층"
합정역점,"서울시 마포구 독막로 13, 2층  ",02-338-9178,"서울특별시 마포구 독막로 13, 2층"
종각역점,서울시 종로구 종로 70 2층  ,02-739-6268,서울특별시 종로구 종로 70 2층
평택소사점,"경기도 평택시 평남로 862, 로이드빌딩 1층  ",031-692-2405,"경기도 평택시 평남로 862, 로이드빌딩 1층"
몽촌토성역점,"서울시 송파구 방이동 44-2, 장은빌딩 1층  ",02-2141-0407,"서울특별시 송파구 방이동 44-2, 장은빌딩 1층"
도곡동지오빌딩점,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층  ",02-2058-3027,"서울특별시 강남구 도곡동 543-1, 지오빌딩 B1층"
강북구청앞점,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)  ",02-994-8878,"서울특별시 강북구 한천로 139길 25, 1층 일부 및 2층 (수유동 191-70)"
송도트리플스트리트점," 인천 연수구 송도과학로 16번길 33-4 D동 119호,207호  ",032-310-9644,"인천광역시 연수구 송도과학로 16번길 33-4 D동 119호,207호"
구의삼성쉐르빌점,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층  ,02-2201-8953,서울특별시 광진구 구의강변로 106 삼성쉐르빌 1층
여의도SK증권빌딩점,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층  ,02-6484-5150,서울특별시 영등포구 국제금융로8길31 여의도SK증권빌딩점 1층
현대시티몰가든파이브점,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층  ,02-2673-2110,서울특별시 송파구 충민로 66 가든파이브 라이프동 테크노관 1층
합정푸르지오점,"서울특별시 마포구 월드컵로 3길 14, 푸르지오 2차 1층  ",02-338-7684,"서울특별시 마포구 월드컵로 3길 14, 푸르지오 2차 1층"
신논현역2번출구점,서울시 서초구 강남대로 475 2층  ,02-541-9650,서울특별시 서초구 강남대로 475 2층
위례2차아이파크점,서울시 송파구 위례광장로 230 위례2차 아이파크 B동 1층  ,02-449-9703,서울특별시 송파구 위례광장로 230 위례2차 아이파크 B동 1층
혜화역1번출구점,서울특별시 종로구 대학로 128 2층  ,02-766-7937,서울특별시 종로구 대학로 128 2층
한성대입구역점,서울특별시 성북구 삼선교로 12 1층  ,02-766-7951,서울특별시 성북구 삼선교로 12 1층
한티역디마크빌딩점,서울특별시 강남구 도곡로 408 디마크빌딩 1층  ,02-2052-6590,서울특별시 강남구 도곡로 408 디마크빌딩 1층
논현201-5번지점,"서울특별시 강남구  강남대로112길 20 1층, 2층  ",02-541-9563,"서울특별시 강남구 강남대로112길 20 1층, 2층"
부산수영역점,부산광역시 수영구 수영로 667 1층  ,051-759-9046,부산광역시 수영구 수영로 667 1층
부산정관점,"부산광역시 기장군 정관로 563 1층,2층  ",051-728-7435,"부산광역시 기장군 정관로 563 1층,2층"
수원송죽DT점,경기도 수원시 장안구 경수대로 989  ,031-248-6086,경기도 수원시 장안구 경수대로 989
동교동삼거리점,서울특별시 마포구 양화로 196(동교동)  ,02-336-9198 ,서울특별시 마포구 양화로 196(동교동)
성남신흥점,경기도 성남시 수정구 수정로 190 (신흥동)  ,031-759-6675,경기도 성남시 수정구 수정로 190 (신흥동)
응암동점 ,"서울시 은평구 은평로 121(응암동), 메디컬빌딩  ",02-389-6283,"서울특별시 은평구 은평로 121(응암동), 메디컬빌딩"
서수원이마트점,"경기도 수원시 권선구 수인로 291(구운동), 이마트 서수원점 1층  ",031-278-6593,"경기도 수원시 권선구 수인로 291(구운동), 이마트 서수원점 1층"
양천향교역점,서울특별시 강서구 강서로 457(마곡동)  ,02-3665-9506,서울특별시 강서구 강서로 457(마곡동)
성균관대 자연과학캠퍼스점,"경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층  ",031-278-7640,"경기도 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층"
마곡마커스빌딩점 ,서울특별시 강서구 마곡동로 55 마커스빌딩 1층  ,02-6905-3030,서울특별시 강서구 마곡동로 55 마커스빌딩 1층
방이역4번출구점,서울 송파구 방이동 206-11  ,02-420-0386,서울특별시 송파구 방이동 206-11
IFC MALL 3호점,서울시 영등포구 국제금융로10 IFC Mall L2(2층)  ,02-6137-5056,서울특별시 영등포구 국제금융로10 IFC Mall L2(2층)
동탄능동DT점,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)  ",031-267-4182,"경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)"
수원인계DT점,경기도 수원시 팔달구 인계로79 (인계동)  ,031-898-8818,경기도 수원시 팔달구 인계로79 (인계동)
인천공항 제2여객터미널 입구점,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)  ,032-743-2894,인천광역시 중구 운서동 2868 인천공항 제2터미널 1층 연번(23-124)
부산서면서전로점,"부산광역시 부산진구 서전로 12, 1층  ",051-819-8708,"부산광역시 부산진구 서전로 12, 1층"
분당차병원본관앞점,경기도 성남시 분당구 야탑로64 DS타워 1층  ,031-8017-8243,경기도 성남시 분당구 야탑로64 DS타워 1층
신용산역래미안점,서울시 용산구 한강대로95  ,02-2074-1049,서울특별시 용산구 한강대로95
선릉역3번출구세방빌딩점,서울특별시 강남구 선릉로 433 세방빌딩 1층  ,02-2051-9328,서울특별시 강남구 선릉로 433 세방빌딩 1층
